date,total_value,eq,year,daily_ret
2018-01-02,1000000.0,0.0,2018,
2018-01-03,1000000.0,0.0,2018,0.0
2018-01-04,1000000.0,0.0,2018,0.0
2018-01-05,1000000.0,0.0,2018,0.0
2018-01-08,1000000.0,0.0,2018,0.0
2018-01-09,1000000.0,0.0,2018,0.0
2018-01-10,1000000.0,0.0,2018,0.0
2018-01-11,1000000.0,0.0,2018,0.0
2018-01-12,1000000.0,0.0,2018,0.0
2018-01-15,1000000.0,0.0,2018,0.0
2018-01-16,1000000.0,0.0,2018,0.0
2018-01-17,1000000.0,0.0,2018,0.0
2018-01-18,1000000.0,0.0,2018,0.0
2018-01-19,1000000.0,0.0,2018,0.0
2018-01-22,1000000.0,0.0,2018,0.0
2018-01-23,1000000.0,0.0,2018,0.0
2018-01-24,1000000.0,0.0,2018,0.0
2018-01-25,1000000.0,0.0,2018,0.0
2018-01-26,1000000.0,0.0,2018,0.0
2018-01-29,1000000.0,0.0,2018,0.0
2018-01-30,1000000.0,0.0,2018,0.0
2018-01-31,1000000.0,0.0,2018,0.0
2018-02-01,1000000.0,0.0,2018,0.0
2018-02-02,1000000.0,0.0,2018,0.0
2018-02-05,1000000.0,0.0,2018,0.0
2018-02-06,1000000.0,0.0,2018,0.0
2018-02-07,1000000.0,0.0,2018,0.0
2018-02-08,1000000.0,0.0,2018,0.0
2018-02-09,1000000.0,0.0,2018,0.0
2018-02-12,1000000.0,0.0,2018,0.0
2018-02-13,1000000.0,0.0,2018,0.0
2018-02-14,1000000.0,0.0,2018,0.0
2018-02-22,1000000.0,0.0,2018,0.0
2018-02-23,1000000.0,0.0,2018,0.0
2018-02-26,1000000.0,0.0,2018,0.0
2018-02-27,1000000.0,0.0,2018,0.0
2018-02-28,1000000.0,0.0,2018,0.0
2018-03-01,1000000.0,0.0,2018,0.0
2018-03-02,1000000.0,0.0,2018,0.0
2018-03-05,1000000.0,0.0,2018,0.0
2018-03-06,1000000.0,0.0,2018,0.0
2018-03-07,1000000.0,0.0,2018,0.0
2018-03-08,1000000.0,0.0,2018,0.0
2018-03-09,1000000.0,0.0,2018,0.0
2018-03-12,1000000.0,0.0,2018,0.0
2018-03-13,1000000.0,0.0,2018,0.0
